relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source,source_type,source_link,source_date
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,24262,2120,effect/phenotype,Cerebral cortical atrophy,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22421,2186,effect/phenotype,Apraxia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,24294,2395,effect/phenotype,Lower limb hyperreflexia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,23135,1260,effect/phenotype,Dysarthria,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,84858,1285,effect/phenotype,Spastic tetraparesis,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,23515,3581,effect/phenotype,Adult onset,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,85078,2185,effect/phenotype,Neurofibrillary tangles,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22692,2071,effect/phenotype,Abnormality of extrapyramidal motor function,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,33758,10524,effect/phenotype,Agnosia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22442,726,effect/phenotype,Dementia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,84708,751,effect/phenotype,Personality changes,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22759,6,effect/phenotype,Autosomal dominant inheritance,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,23545,1336,effect/phenotype,Myoclonus,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,85588,3678,effect/phenotype,Rapidly progressive,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,23153,1300,effect/phenotype,Parkinsonism,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,93704,410054,effect/phenotype,Decreased level of GABA in serum,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,85153,2423,effect/phenotype,Long-tract signs,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,84887,1425,effect/phenotype,Heterogeneous,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,26293,6979,effect/phenotype,Sleep-wake cycle disturbance,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,85562,3596,effect/phenotype,Middle age onset,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22682,100543,effect/phenotype,Cognitive impairment,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,89468,12662,effect/phenotype,Parietal hypometabolism in FDG PET,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,94248,11970,effect/phenotype,Cerebral amyloid angiopathy,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,27073,100256,effect/phenotype,Senile plaques,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,84695,716,effect/phenotype,Depressivity,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,26205,734,effect/phenotype,Disinhibition,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,26653,410170,effect/phenotype,Hippocampal atrophy,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,85559,3584,effect/phenotype,Late onset,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22454,2167,effect/phenotype,Neurological speech impairment,HPO,,,
disease_phenotype_positive,phenotype present,31527,11513,disease,"Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology",MONDO,23000,1250,effect/phenotype,Seizure,HPO,,,
disease_phenotype_positive,phenotype present,31527,11513,disease,"Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology",MONDO,86805,6790,effect/phenotype,Cerebral cortex with spongiform changes,HPO,,,
disease_phenotype_positive,phenotype present,31527,11513,disease,"Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology",MONDO,85078,2185,effect/phenotype,Neurofibrillary tangles,HPO,,,
disease_phenotype_positive,phenotype present,31527,11513,disease,"Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology",MONDO,27073,100256,effect/phenotype,Senile plaques,HPO,,,
disease_phenotype_positive,phenotype present,31527,11513,disease,"Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology",MONDO,22759,6,effect/phenotype,Autosomal dominant inheritance,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,22398,708,effect/phenotype,Behavioral abnormality,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,84693,712,effect/phenotype,Emotional lability,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,84695,716,effect/phenotype,Depressivity,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,22447,739,effect/phenotype,Anxiety,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,25254,1328,effect/phenotype,Specific learning disability,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,22679,2360,effect/phenotype,Sleep disturbance,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,85185,2549,effect/phenotype,Deficit in phonologic short-term memory,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,86892,7018,effect/phenotype,Attention deficit hyperactivity disorder,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,22979,11458,effect/phenotype,Abdominal symptom,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,26199,30223,effect/phenotype,Perseveration,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,92920,40264,effect/phenotype,Jaw pain,HPO,,,
disease_phenotype_positive,phenotype present,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,22682,100543,effect/phenotype,Cognitive impairment,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,84694,713,effect/phenotype,Agitation,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,23113,738,effect/phenotype,Hallucinations,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22676,1276,effect/phenotype,Hypertonia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,26162,1289,effect/phenotype,Confusion,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,85633,3791,effect/phenotype,Deposits immunoreactive to beta-amyloid protein,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22445,12433,effect/phenotype,Abnormal social behavior,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22670,12759,effect/phenotype,Neurodevelopmental abnormality,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22343,504,effect/phenotype,Abnormality of vision,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,84678,657,effect/phenotype,Oculomotor apraxia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22675,1249,effect/phenotype,Intellectual disability,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22699,1251,effect/phenotype,Ataxia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,23125,2381,effect/phenotype,Aphasia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22671,11446,effect/phenotype,Abnormality of higher mental function,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,90327,30219,effect/phenotype,Semantic dementia,HPO,,,
disease_disease,parent-child,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,94982,10783,disease,"Alzheimer disease, susceptibility to, mitochondrial",MONDO,,,
disease_disease,parent-child,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,83960,11401,disease,Alzheimer disease without neurofibrillary tangles,MONDO,,,
disease_disease,parent-child,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,31527,11513,disease,"Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology",MONDO,,,
disease_disease,parent-child,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,,,
disease_disease,parent-child,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,32654,17233_100087,disease,familial Alzheimer disease,MONDO_grouped,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,20294,DB11160,drug,Phenyltoloxamine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,16490,DB01620,drug,Pheniramine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15147,DB01173,drug,Orphenadrine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,17407,DB00175,drug,Pravastatin,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15832,DB00395,drug,Carisoprodol,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,16350,DB04272,drug,Citric acid,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,17062,DB00241,drug,Butalbital,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15089,DB00318,drug,Codeine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14182,DB00497,drug,Oxycodone,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,20303,DB13719,drug,Trolnitrate,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,20304,DB08797,drug,Salicylamide,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15181,DB03783,drug,Phenacetin,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14881,DB00388,drug,Phenylephrine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,16550,DB00975,drug,Dipyridamole,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14783,DB00201,drug,Caffeine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,17064,DB00371,drug,Meprobamate,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,16790,DB00423,drug,Methocarbamol,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14993,DB01174,drug,Phenobarbital,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15112,DB00647,drug,Dextropropoxyphene,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,16506,DB00652,drug,Pentazocine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,20311,DB11126,drug,Calcium gluconate,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14898,DB00397,drug,Phenylpropanolamine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14990,DB01114,drug,Chlorpheniramine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15132,DB00956,drug,Hydrocodone,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15171,DB01551,drug,Dihydrocodeine,DrugBank,,,
indication,indication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,20185,DB11275,drug,Epicriptine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,20300,DB12710,drug,Perazine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,17243,DB01246,drug,Alimemazine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,16071,DB01625,drug,Isopropamide,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,16317,DB01618,drug,Molindone,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15110,DB00623,drug,Fluphenazine,DrugBank,,,
indication,indication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,20523,DB13247,drug,Pramiracetam,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15165,DB01403,drug,Methotrimeprazine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15098,DB00420,drug,Promazine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15127,DB00850,drug,Perphenazine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15100,DB00433,drug,Prochlorperazine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,15093,DB00363,drug,Clozapine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14176,DB00472,drug,Fluoxetine,DrugBank,,,
contraindication,contraindication,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,14952,DB00502,drug,Haloperidol,DrugBank,,,
